Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2000-01-04,6000,6110,5660,6110,4740.119629,74195000,,
2000-01-05,5800,6060,5520,5580,4328.947754,74680000,,
2000-01-06,5750,5780,5580,5620,4359.979492,54390000,4476.348958,
2000-01-07,5560,5670,5360,5540,4297.916992,40305000,4328.948079,
2000-01-10,5600,5770,5580,5770,4476.349121,46880000,4378.081868,4440.662598
2000-01-11,5820,6100,5770,5770,4476.349121,59745000,4416.871745,4387.908496
2000-01-12,5610,5740,5600,5720,4437.559082,29220000,4463.419108,4409.630762
2000-01-13,5600,5740,5560,5710,4429.80127,41190000,4447.903158,4423.595117
2000-01-14,5720,5880,5680,5830,4522.897461,49375000,4463.419271,4468.591211
2000-01-17,6000,6180,5920,6100,4732.361816,63505000,4561.686849,4519.79375
2000-01-18,6160,6160,5980,6100,4732.361816,45260000,4662.540364,4570.996289
2000-01-19,6000,6040,5960,5960,4623.750977,40205000,4696.158203,4608.234668
2000-01-20,5860,6040,5820,6040,4685.816895,37315000,4680.643229,4659.437793
2000-01-21,5950,5980,5880,5880,4561.687988,32535000,4623.751953,4667.195898
2000-01-24,5800,5900,5700,5700,4422.043457,34355000,4556.516113,4605.132227
2000-01-25,5520,5640,5440,5440,4220.336426,44250000,4401.355957,4502.727149
2000-01-26,5500,5520,5410,5480,4251.368164,29285000,4297.916016,4428.250586
2000-01-27,5480,5620,5430,5520,4282.398438,27900000,4251.367676,4347.566895
2000-01-28,5640,5880,5540,5820,4515.140625,38315000,4349.635742,4338.257422
2000-01-31,5640,5730,5560,5580,4328.947754,39630000,4375.495606,4319.638281
2000-02-01,5600,5680,5260,5320,4127.241211,71470000,4323.77653,4301.019238
2000-02-02,5220,5370,5110,5250,4072.935547,64105000,4176.374837,4265.332715
2000-02-03,5250,5460,4970,5130,3979.839355,142765000,4060.005371,4204.820898
2000-02-04,5130,5130,5130,5130,3979.839355,0,4010.871419,4097.760644
2000-02-07,5140,5330,5040,5240,4065.175537,64140000,4008.284749,4045.006201
2000-02-08,5340,5480,5310,5430,4212.579102,58460000,4085.864665,4062.073779
2000-02-09,5560,5720,5480,5720,4437.559082,51050000,4238.437907,4134.998486
2000-02-10,5660,5880,5600,5760,4468.59082,61845000,4372.909668,4232.748779
2000-02-11,5960,5960,5680,5700,4422.043457,34660000,4442.73112,4321.1896
2000-02-14,5600,5660,5340,5380,4173.788086,44140000,4354.807454,4342.912109
2000-02-15,5380,5420,5140,5200,4034.144043,38315000,4209.991862,4307.225098
2000-02-16,5180,5200,4780,5000,3878.985596,73115000,4028.972575,4195.5104
2000-02-17,4940,5100,4910,5080,3941.048828,65185000,3951.392822,4090.002002
2000-02-18,5370,5630,5160,5300,4111.724609,108750000,3977.253011,4027.938232
2000-02-21,5200,5260,5030,5070,3933.291504,26485000,3995.35498,3979.838916
2000-02-22,5000,5240,5000,5120,3972.081543,24180000,4005.699219,3967.426416
2000-02-23,5220,5260,5100,5140,3987.595703,27720000,3964.322917,3989.148437
2000-02-24,5120,5240,5060,5070,3933.291504,26075000,3964.322917,3987.596973
2000-02-25,5080,5150,4980,5120,3972.081543,27875000,3964.322917,3959.668359
2000-02-28,5000,5050,4800,4800,3723.826416,30140000,3876.399821,3917.775342
2000-02-29,4900,5140,4840,5120,3972.081543,51820000,3889.329834,3917.775342
2000-03-01,5120,5120,5120,5120,3972.081543,0,3889.329834,3914.67251
2000-03-02,5880,5880,5520,5880,4561.687988,117750000,4168.617025,4040.351807
2000-03-03,6200,6250,5880,6000,4654.78125,140990000,4396.183594,4176.891748
2000-03-06,6000,6050,5600,5640,4375.495605,39150000,4530.654948,4307.225586
2000-03-07,5600,5640,5480,5620,4359.979492,30070000,4463.418782,4384.805176
2000-03-08,5520,6000,5500,5920,4592.718262,32460000,4442.73112,4508.932519
2000-03-09,5970,5980,5620,5620,4359.979492,55890000,4437.559082,4468.59082
2000-03-10,5790,5800,5520,5540,4297.916992,28605000,4416.871582,4397.217969
2000-03-13,5480,5490,5160,5180,4018.628418,32215000,4225.508301,4325.844531
2000-03-14,5170,5380,5160,5210,4041.904297,30060000,4119.483236,4262.229492
2000-03-15,5200,5400,5120,5400,4189.303711,46105000,4083.278809,4181.546582
2000-03-16,5480,5520,5360,5400,4189.303711,28795000,4140.170573,4147.411426
2000-03-17,5540,5560,5400,5480,4251.368164,24080000,4209.991862,4138.10166
2000-03-20,5600,5710,5530,5660,4391.010742,26365000,4277.227539,4212.578125
2000-03-21,5700,5940,5610,5880,4561.687988,44925000,4401.355631,4316.534863
2000-03-22,5960,6300,5880,6200,4809.941895,86975000,4587.546875,4440.6625
2000-03-23,6480,6580,6200,6200,4809.941895,64950000,4727.190593,4564.790137
2000-03-24,6320,7120,6180,6800,5275.42041,90260000,4965.1014,4769.600586
2000-03-27,6960,7040,6700,6800,5275.42041,67730000,5120.260905,4946.48252
2000-03-28,6900,7260,6820,7030,5453.853516,74425000,5334.898112,5124.915625
2000-03-29,7030,7680,6980,7660,5942.605957,78090000,5557.293294,5351.448438
2000-03-30,7520,7560,7050,7050,5469.371094,74645000,5621.943522,5483.334277
2000-03-31,6800,7070,6650,6700,5197.842285,63855000,5536.606445,5467.818652
2000-04-03,6920,7320,6860,7100,5508.159668,56805000,5391.791016,5514.366504
2000-04-04,7000,7290,6660,6800,5275.42041,58340000,5327.140788,5478.679883
2000-04-05,6800,6800,6800,6800,5275.42041,0,5353.000163,5345.242773
2000-04-06,6860,6960,6680,6680,5182.325684,47235000,5244.388835,5287.833691
2000-04-07,6860,7260,6780,7200,5585.740234,42355000,5347.828776,5365.413281
2000-04-10,7500,7500,7200,7300,5663.318848,35885000,5477.128255,5396.445117
2000-04-11,7200,7200,6950,7100,5508.159668,29075000,5585.739583,5442.992969
2000-04-12,6960,7030,6860,6910,5360.757324,35250000,5510.74528,5460.060352
2000-04-13,6910,6910,6910,6910,5360.757324,0,5409.891439,5495.74668
2000-04-14,6600,6680,6260,6260,4856.491211,62365000,5192.66862,5349.896875
2000-04-17,5420,5750,5340,5520,4282.398438,78050000,4833.215658,5073.712793
2000-04-18,6200,6240,5860,6040,4685.816895,73730000,4608.235515,4909.244238
2000-04-19,6300,6460,5860,6000,4654.78125,60615000,4540.998861,4768.049024
2000-04-20,5960,6160,5920,6020,4670.298828,37335000,4670.298991,4629.957324
2000-04-21,6060,6180,5970,6050,4693.571777,26425000,4672.883952,4597.373438
2000-04-24,5970,6030,5760,5800,4499.623047,27830000,4621.164551,4640.818359
2000-04-25,5620,5760,5520,5640,4375.495605,34900000,4522.89681,4578.754101
2000-04-26,5820,5860,5600,5600,4344.463379,39290000,4406.527344,4516.690527
2000-04-27,5520,5700,5400,5400,4189.303711,54110000,4303.087565,4420.491504
2000-04-28,5500,6100,5460,6000,4654.78125,75530000,4396.18278,4412.733398
2000-05-01,6000,6000,6000,6000,4654.78125,0,4499.62207,4443.765039
2000-05-02,6200,6530,6120,6280,4872.006348,72335000,4727.189616,4543.067188
2000-05-03,6240,6260,6090,6180,4794.425781,26585000,4773.737793,4633.059668
